unit_id,manufacturer,tag,tag2,官网仪器详情页,仪器名称,仪器参数,仪器详情,抓取状态,driver_module,driver_main_class,driver_lines,driver_protocol,driver_repo,driver_src_file,action_count,actions,registry_path,driver_path,quality_grade,quality_status,quality_note,duplicate_of
53,DER EE,频谱与网络分析仪,电学测量仪器,https://www.deree.com.tw/de-5000-lcr-meter.html,DER EE DE-5000 手持式LCR表,测试频率100Hz/120Hz/1kHz/10kHz/100kHz;4线测量;自动L-C-R选择;电感20µH-2kH/电容200pF-20mF/电阻20Ω-200MΩ;参数Ls/Lp/Cs/Cp/Rs/Rp/D/Q/Θ/ESR;测试信号0.5Vrms;20000/2000计数背光显示;IR-USB数据传输;9V电池供电;190×95×52mm/350g,"DER EE DE-5000是全功能便携式LCR表,具备台式机级的测量能力。支持5个测试频率(100Hz至100kHz),自动L-C-R选择和串/并联模型切换。除测量基本L/C/R值外,还评估耗散因子(D)、品质因数(Q)、相位角和等效串联电阻(ESR)等关键参数。配备元件分选功能和可选光隔离IR-USB数据传输套件,是电子元件测试的高性价比选择。",ok,community_drivers.53.de5000:DE5000,,4,-,(自研/未标注),,6,"read_raw_data, is_data_valid, read_hex_str_data, get_meas, normalize_val, pretty_print",quality_drivers_A/53/registry.yaml,quality_drivers_A/53/driver.py,A,usable,"driver.py 是 4 行 wrapper, 真实 426 行驱动在同目录 de5000.py (ES51919 协议解析)",
63,Lauda,高低温循环装置,加热、制冷及空气净化与调节设备,https://www.lauda.de/en/products/constant-temperature-equipment/thermostats/circulation-and-process-thermostats/loop/details/L002015,Lauda LOOP L250 帕尔贴循环恒温器,温度范围: 4~80°C; 温度稳定性: ±0.1K; 制冷量(20°C): 0.25kW; 加热功率: 0.4kW; 泵流量: 3L/min; 泵压力: 0.8bar; 填充容积: 0.32L; 电源: 100-240V通用; 尺寸: 261×368×312mm; 重量: 11kg,Lauda LOOP L250是一款采用帕尔贴半导体技术的紧凑型循环恒温器，通过半导体继电器电流流动实现加热和冷却，只需反转极性即可切换。100-240V通用电压输入使其可在全球灵活使用，快速接头实现即插即用。高对比度OLED显示屏配合三键软键操作，支持五种语言界面。部分负载运行时特别节能安静，适用于来料检验、质量保证、研究和样品制备等应用场景。,ok,community_drivers.63.driver,未识别,339,Serial,https://github.com/turbocasino/LOOP-L250-Chiller,chiller.py,13,"write_cmd, check_dec, power, temperature, read_cmd, read_set_temp, read_inside_temp, read_set_temp_hi, read_set_temp_lo, status, naming, logging, sampling",quality_drivers_A/63/registry.yaml,quality_drivers_A/63/driver.py,A,usable,"Lauda LOOP L250: 自包含串口实现; 命令逻辑正确, 但模块顶层会立刻打开 config.json 并 open() 串口, 直接 import 有副作用, 实际接入需包成类",
65,Masterflex,蠕动泵,合成制备仪器与设备,https://www.masterflex.com/c/masterflex-l-s-peristaltic-pump-systems-349,Masterflex L/S 蠕动泵系统,流量范围: 0.006~3400mL/min; 转速范围: 6~600RPM; 管路尺寸: L/S 13/14/16/25/36; 驱动类型: 无刷直流电机; 可逆流向; 自吸式干运行安全; 模块化设计; 泵头可互换; 电源: 100-240V; 远程控制接口,Masterflex L/S系列是全球广泛使用的蠕动泵平台，采用模块化设计，驱动器和泵头可自由组合。流量范围从微升级0.006mL/min到3400mL/min，覆盖实验室到工业级应用。无刷直流电机提供安静长寿命运行，流体仅接触管路确保无污染输送。支持数字、经济和精密多种驱动型号，可选Easy-Load、标准和多通道泵头。适用于化学计量、生物处理和环境采样等应用。,ok,community_drivers.65.driver:MasterflexSerial,MasterflexSerial,267,Serial,https://github.com/Wyss/masterflex,masterflex/masterflex.py,10,"findSerialPumps, requestAuxiliaryInputStatus, controlAuxiliaryOutputsOnG, requestCumulative, requestToGo, go, goContinuous, halt, requestStatus, requestFrontPanelSwitch",quality_drivers_A/65/registry.yaml,quality_drivers_A/65/driver.py,A,usable,Masterflex 完整命令集; 串口; 自包含,
75,IKA,旋转蒸发器,样品处理仪器与设备,https://www.ika.com/en/Products-LabEq/Rotary-Evaporators-pg35/RV-10-digital-pro-V-double-Complete-10011964/,IKA RV 10 旋转蒸发仪,转速范围: 20~280RPM; 浴温范围: 室温~180°C; 加热功率: 1300W; 蒸发瓶: 最大3L; 冷凝面积: 1500cm²; 电动升降行程: 140mm; 电机: 50W无刷直流; 电源: 100-240V 75W; 接口: RS-232; 防护等级: IP20,IKA RV 10是一款功能全面的旋转蒸发仪，转速20~280RPM，加热浴温度可达180°C。配备140mm行程电动升降系统，断电时安全自动提升蒸发瓶脱离加热浴。1500cm²冷凝面积确保高效冷凝回收，推脱机构便于拆卸紧固的蒸发瓶。支持左右间歇旋转模式用于干燥工艺，定时器实现定时控制。RS-232接口配合labworldsoft软件可实现远程操控和数据采集，是实验室蒸馏浓缩的理想选择。,ok,community_drivers.75.driver:RV10Rotovap,RV10Rotovap,308,Serial,https://github.com/croningp/pylabware,PyLabware/devices/ika_rv10.py,10,"initialize_device, is_connected, is_idle, get_status, check_errors, clear_errors, start, stop, start_bath, stop_bath",quality_drivers_A/75/registry.yaml,quality_drivers_A/75/driver.py,A,usable,PyLabware IKA RV10; 协议完整; get_status/check_errors/clear_errors 仍是 NotImplementedError,
76,Universal Robots,转运与协作机器人,实验室自动化与机器人,https://www.universal-robots.com/products/ur3-robot/,Universal Robots UR3 协作机器人,有效载荷: 3kg; 工作半径: 500mm; 自重: 11.2kg; 重复精度: ±0.1mm; 自由度: 6轴; 关节范围: ±360°; 工具速度: 最高1m/s; 功耗: 约100W; 底座直径: 128mm; 防护等级: IP64; 通信: TCP/IP/Modbus/EtherNet/IP,Universal Robots UR3是UR系列中最小的协作机器人，3kg有效载荷和500mm工作半径使其成为台面级轻量任务的理想选择。所有关节±360°旋转范围和±0.1mm重复精度适合精密装配、拧螺丝和实验室自动化等应用。17项可配置安全功能确保人机协作安全性，无需安全围栏。PolyScope图形化编程界面无需机器人编程经验，平均部署时间不到一天。支持壁面、天花板等任意方向安装。,ok,community_drivers.76.driver:SecondaryMonitor,SecondaryMonitor,477,Socket/TCP,https://github.com/SintefManufacturing/python-urx,urx/ursecmon.py,10,"send_program, run, wait, get_cartesian_info, get_all_data, get_joint_data, get_digital_out, get_digital_out_bits, get_digital_in, get_digital_in_bits",quality_drivers_A/76/registry.yaml,quality_drivers_A/76/driver.py,A,usable,"python-urx SecondaryMonitor; 仅监听二级口, 上层需自行拼 URScript",
77,Universal Robots,转运与协作机器人,实验室自动化与机器人,https://www.universal-robots.com/products/ur5-robot/,Universal Robots UR5 协作机器人,有效载荷: 5kg; 工作半径: 850mm; 自重: 18.4kg; 重复精度: ±0.03mm; 自由度: 6轴; 关节范围: ±360°; 工具速度: 最高1m/s; 功耗: 约200W; 底座直径: 149mm; 防护等级: IP54; 通信: TCP/IP/Modbus/EtherNet/IP/PROFINET,Universal Robots UR5是中型协作机器人，5kg有效载荷和850mm工作半径覆盖广泛的工作站级应用。±0.03mm的出色重复精度满足拾取放置、机床上下料、装配包装和质量检测等高精度需求。协作安全设计允许与人类安全并肩工作，无需安全围栏。直观的触屏示教器和PolyScope编程界面简化了部署流程，丰富的通信接口支持工业自动化集成。可任意方向安装，灵活适应各种工作布局。,ok,community_drivers.77.driver:SecondaryMonitor,SecondaryMonitor,477,Socket/TCP,https://github.com/SintefManufacturing/python-urx,urx/ursecmon.py,10,"send_program, run, wait, get_cartesian_info, get_all_data, get_joint_data, get_digital_out, get_digital_out_bits, get_digital_in, get_digital_in_bits",quality_drivers_A/77/registry.yaml,quality_drivers_A/77/driver.py,A,usable,python-urx SecondaryMonitor; 与 76 共享代码,gh_device_76
78,Universal Robots,转运与协作机器人,实验室自动化与机器人,https://www.universal-robots.com/products/ur10-robot/,Universal Robots UR10 协作机器人,有效载荷: 10kg; 工作半径: 1300mm; 自重: 28.9kg; 重复精度: ±0.05mm; 自由度: 6轴; 关节范围: ±360°; 工具速度: 最高1m/s; 功耗: 约350W; 底座直径: 190mm; 防护等级: IP54; 通信: TCP/IP/Modbus/EtherNet/IP/PROFINET,Universal Robots UR10是UR经典系列中的大型协作机器人，10kg有效载荷和1300mm工作半径适合较重物品的搬运和较大范围的操作任务。±0.05mm重复精度满足包装码垛、机床上下料和大型工件装配需求。虽为最大型号但仍保持协作安全特性，内置力/扭矩感应实现碰撞检测。PolyScope编程界面保持一致的用户体验，支持任意方向安装，是替代传统工业机器人的高性价比方案。,ok,community_drivers.78.driver:SecondaryMonitor,SecondaryMonitor,477,Socket/TCP,https://github.com/SintefManufacturing/python-urx,urx/ursecmon.py,10,"send_program, run, wait, get_cartesian_info, get_all_data, get_joint_data, get_digital_out, get_digital_out_bits, get_digital_in, get_digital_in_bits",quality_drivers_A/78/registry.yaml,quality_drivers_A/78/driver.py,A,usable,python-urx SecondaryMonitor; 与 76 共享代码,gh_device_76
80,Universal Robots,转运与协作机器人,实验室自动化与机器人,https://www.universal-robots.com/products/ur5-robot/,Universal Robots UR5e 协作机器人,有效载荷: 5kg; 工作半径: 850mm; 自重: 20.6kg; 重复精度: ±0.03mm; 自由度: 6轴; 关节范围: ±360°; 关节速度: 最高180°/s; 功耗: 约200W; 底座直径: 149mm; 防护等级: IP54; 内置力/扭矩传感器; 通信: TCP/IP/Modbus/EtherNet/IP,Universal Robots UR5e是e系列中最畅销的中型协作机器人，5kg有效载荷和850mm工作半径覆盖最广泛的应用场景。内置六轴力/扭矩传感器提供精密力控制能力，±0.03mm重复精度支持高要求的质量检测和精密装配。e系列控制器增强了安全认证(PL d/Cat.3)，IP54防护等级和IP67可选配置适应各种工作环境。支持ROS和URScript编程，丰富的UR+生态系统提供大量即插即用的末端执行器和配件。,ok,community_drivers.80.driver:SecondaryMonitor,SecondaryMonitor,477,Socket/TCP,https://github.com/SintefManufacturing/python-urx,urx/ursecmon.py,10,"send_program, run, wait, get_cartesian_info, get_all_data, get_joint_data, get_digital_out, get_digital_out_bits, get_digital_in, get_digital_in_bits",quality_drivers_A/80/registry.yaml,quality_drivers_A/80/driver.py,A,usable,python-urx SecondaryMonitor; 与 76 共享代码,gh_device_76
220,RedPitaya,数据采集与记录仪,电学测量仪器,https://redpitaya.com/stemlab-125-14/,Red Pitaya STEMlab 125-14 多功能测量平台,DAC分辨率: 14位; 采样率: 125MS/s; 输出带宽: 50MHz; 输出通道: 2路模拟; 输出电压: ±1V; FPGA: Xilinx Zynq; 接口: 以太网/USB/WiFi; 开源软硬件,Red Pitaya STEMlab 125-14是一款基于FPGA的开源多功能测量平台，集成信号发生器、示波器、频谱分析仪和波特图分析仪等功能，14位DAC/125MS/s采样率，双通道模拟输出，支持Web界面操作和自定义FPGA编程，信用卡大小的紧凑设计。,ok,community_drivers.220.driver:scpi,scpi,136,Socket/TCP,(自研/未标注),,10,"close, rx_txt, rx_arb, tx_txt, txrx_txt, cls, ese, ese_q, esr_q, idn_q",quality_drivers_A/220/registry.yaml,quality_drivers_A/220/driver.py,A,usable,Red Pitaya SCPI; 纯 socket; 零依赖,
1011,Universal Robots,转运与协作机器人,实验室自动化与机器人,https://www.universal-robots.com/products/ur10e/,Universal Robots UR10e协作机器人,有效载荷12.5kg；臂展1300mm；6轴关节；重复定位精度±0.05mm；自重33.5kg；IP54防护；内置力/扭矩传感器；Modbus TCP/PROFINET/EtherNet/IP通信,UR10e是Universal Robots e-Series协作机器人，有效载荷12.5kg，臂展1300mm。内置力/扭矩传感器和17项可配置安全功能，符合ISO 10218和ISO/TS 15066协作安全标准。通过PolyScope触屏编程界面操作，支持RTDE实时数据交换协议。,ok,community_drivers.1011.driver:SecondaryMonitor,SecondaryMonitor,477,Socket/TCP,https://github.com/SintefManufacturing/python-urx,urx/ursecmon.py,10,"send_program, run, wait, get_cartesian_info, get_all_data, get_joint_data, get_digital_out, get_digital_out_bits, get_digital_in, get_digital_in_bits",quality_drivers_A/1011/registry.yaml,quality_drivers_A/1011/driver.py,A,usable,python-urx SecondaryMonitor; 与 76 共享代码,gh_device_76
